""	"TCGA-23-2078-01"	"TCGA-20-1687-01"	"TCGA-57-1582-01"	"TCGA-13-1410-01"	"TCGA-13-1405-01"	"TCGA-24-2271-01"	"TCGA-61-2111-01"	"TCGA-36-1574-01"	"TCGA-13-1505-01"
"ADGRG5"	285	193	34	49	82	82	218	637	63
"ADGRG6"	349	1336	3779	253	272	90	173	416	691
"ADGRG7"	0	0	0	0	0	0	0	1	0
"ADGRL1"	14768	4381	6100	31710	11974	3754	2865	11282	7011
"ADGRL1-AS1"	558	117	102	255	111	138	70	114	209
"ADGRL2"	12647	2518	11541	28853	2825	3100	13498	2187	3455
"ADGRL3"	268	23	514	2222	935	9	42	247	394
"ADGRL3-AS1"	0	0	0	1	0	0	0	0	0
"ADGRL4"	904	318	499	966	1345	218	439	899	297
"ADGRV1"	185	10	171	24	44	0	71	41	197
"ADH1A"	1	0	3	4	1	4	3	2	6
"ADH1B"	4326	894	21	1611	5039	1038	3	4	2341
"ADH1C"	19	56	7	15	44	17	317	27	54
"ADH4"	13	0	4	11	7	2	4	3	9
"ADH5"	5328	2793	5304	4307	9378	1648	5889	14864	5674
"ADH5P2"	6	1	5	19	1	25	0	4	2
"ADH5P3"	2	0	2	1	3	1	2	4	1
"ADH5P4"	12	7	20	21	38	2	18	41	10
"ADH5P5"	0	1	0	0	0	0	0	0	1
"ADH6"	20	12	10	32	27	6	22	78	22
"ADH7"	3	0	5	0	10	0	0	12	0
"ADHFE1"	278	197	337	264	131	354	365	221	498
"ADI1"	8591	4525	3608	7174	6747	1395	3209	4923	4999
"ADI1P1"	0	0	0	0	0	0	2	0	0
"ADI1P2"	2	2	0	2	2	0	0	0	1
"ADI1P3"	0	0	0	0	0	0	0	0	0
"ADIG"	1	0	0	2	1	0	1	3	0
"ADIPOQ"	1513	0	1	193	1039	92	0	1	622
"ADIPOQ-AS1"	16	0	0	0	3	0	0	0	0
"ADIPOR1"	13818	5809	4684	23120	14678	4878	6830	17494	9058
"ADIPOR1P1"	0	0	0	0	1	0	0	1	0
"ADIPOR1P2"	1	1	1	1	2	0	0	2	0
"ADIPOR2"	4354	3383	4306	3086	3072	1613	1864	4341	5143
"ADIRF"	0	0	0	0	0	0	0	0	0
"ADIRF-AS1"	994	307	1026	260	243	1040	98	324	446
"ADK"	2141	3504	2635	1566	2982	818	1057	1720	1134
"ADM"	1787	200	170	392	1516	170	133	1793	226
"ADM2"	481	49	341	797	1852	386	47	1971	220
"ADM5"	398	21	346	103	157	120	37	234	202
"ADNP"	16299	5980	11724	12471	11510	4140	11534	7646	10321
"ADNP-AS1"	397	181	99	216	267	105	185	79	176
"ADNP2"	2629	759	1895	3045	2459	637	1526	2092	701
"ADO"	3411	1842	2244	1870	2736	1130	1308	2844	1731
"ADORA1"	474	383	344	779	4683	2490	65	1059	516
"ADORA2A"	42	4	6	11	12	3	7	12	11
"ADORA2A-AS1"	43	0	2	7	8	3	8	3	9
"ADORA2B"	43	30	26	70	43	7	21	76	89
"ADORA2BP1"	3	0	0	1	1	1	0	0	0
"ADPGK"	7448	1845	3633	2640	2789	2177	1889	4962	3475
"ADPGK-AS1"	45	8	6	12	6	11	3	10	8
"ADPRH"	906	187	375	876	435	267	285	1067	329
"ADPRHL1"	555	1042	305	880	1037	378	602	1005	174
"ADPRM"	369	165	159	415	228	69	172	291	317
"ADPRS"	3534	2051	2496	4471	3767	851	1036	4130	3917
"ADRA1A"	21	0	2	12	16	4	1	2	3
"ADRA1B"	1841	726	1366	387	547	169	317	1070	46
"ADRA1D"	48	25	12	22	22	9	9	21	19
"ADRA2A"	1880	572	132	1978	1002	1712	496	221	2914
"ADRA2B"	67	12	287	440	66	13	159	29	85
"ADRA2C"	6611	2681	1329	132	7836	2666	895	2257	521
"ADRB1"	99	128	7	47	53	16	41	9	43
"ADRB2"	130	43	23	35	52	30	23	20	36
"ADRB3"	17	0	1	8	19	3	0	2	6
"ADRM1"	8830	4447	6246	14962	9483	3194	5692	7876	5892
"ADSL"	3662	2803	5657	5240	2425	654	2433	7074	2502
"ADSS1"	1045	120	334	95	393	340	526	295	993
"ADSS2"	5782	3373	3594	7697	4869	1800	3604	5254	3099
"ADTRP"	99	24	30	25	225	41	209	232	227
"AEBP1"	79102	16316	14704	37328	37108	20052	3664	26376	34893
"AEBP2"	3175	2342	2786	2115	2369	1616	1564	3168	4056
"AEN"	1792	320	944	991	706	523	467	1488	563
"AFAP1"	5450	3035	3163	1747	9686	1264	1131	2981	3018
"AFAP1-AS1"	927	694	5	1527	4955	284	8	3849	2500
"AFAP1L1"	1145	324	318	856	394	364	173	326	326
"AFAP1L2"	4323	693	794	31544	1740	2072	2942	1254	2598
"AFDN"	9123	5020	3922	14607	6731	3451	8081	4487	6770
"AFDN-DT"	527	190	73	299	104	134	198	190	193
"AFF1"	3712	2645	2718	3836	6284	1564	6048	4123	2808
"AFF2"	163	44	605	30	36	9	40	1711	254
"AFF2-IT1"	0	0	0	0	0	0	0	1	1
"AFF3"	306	88	23	40	131	27	375	132	1118
"AFF4"	6426	6192	1776	5946	5563	1896	4260	7934	3354
"AFF4-DT"	2	3	0	4	2	1	1	14	2
"AFG1L"	214	191	190	257	120	85	147	179	172
"AFG3L1P"	1118	155	416	673	706	377	499	797	708
"AFG3L2"	9339	3901	6751	6727	3291	1265	2961	5832	2596
"AFG3L2P1"	16	7	12	13	2	0	2	4	2
"AFM"	0	0	0	0	0	0	0	0	5
"AFMID"	4694	1657	1356	2017	1207	782	1103	1762	1378
"AFP"	0	1	0	2	12	0	0	12	3
"AFTPH"	3337	2445	1967	2246	2965	1478	1755	2965	2344
"AGA"	1196	283	547	925	976	199	484	1819	571
"AGAP1"	5398	2581	5167	7612	7906	1709	1615	2322	2736
"AGAP1-IT1"	24	4	4	17	7	19	2	18	12
"AGAP10P"	12	1	9	4	6	96	2	9	6
"AGAP11"	0	0	0	0	0	0	0	0	0
"AGAP12P"	21	3	13	57	13	11	7	13	163
"AGAP13P"	10	0	5	4	6	5	13	1	12
"AGAP14P"	23	2	9	2	6	16	2	11	4
"AGAP2"	606	101	90	221	302	181	94	118	128
"AGAP2-AS1"	418	147	97	631	945	138	57	333	218
"AGAP3"	11288	6611	5965	8134	6666	6418	2073	4666	7132
"AGAP4"	444	63	181	79	323	98	88	203	376
"AGAP5"	125	14	18	25	40	29	41	19	66
"AGAP6"	1442	131	326	617	1007	688	614	339	645
"AGAP7P"	7	2	0	88	1	16	151	1	6
"AGAP9"	297	55	18	164	254	267	197	91	374
"AGBL1"	0	3	5	0	0	0	1	0	0
"AGBL1-AS1"	1	2	0	2	0	0	0	1	0
"AGBL2"	136	36	6	88	122	84	41	148	203
"AGBL3"	321	266	128	150	309	102	99	170	232
"AGBL4"	13	1	6	14	36	20	91	6	8
"AGBL4-AS1"	0	0	0	0	0	0	0	0	0
"AGBL4-IT1"	3	0	0	0	0	0	0	1	0
"AGBL5"	11851	3287	2211	5670	5036	608	4257	4731	4816
"AGBL5-AS1"	1	8	1	5	2	1	2	2	3
"AGBL5-IT1"	39	14	18	7	22	11	8	9	33
"AGER"	540	40	208	465	362	349	166	210	919
"AGFG1"	7345	2196	5647	8344	7799	1749	3010	3761	4082
"AGFG2"	2854	3495	2795	4857	3291	2346	858	5356	851
"AGGF1"	4096	1284	2023	2035	2233	756	1277	4297	1353
"AGGF1P1"	15	2	13	5	17	2	5	7	2
"AGGF1P2"	24	4	14	9	34	8	11	7	6
"AGGF1P3"	11	0	2	4	2	7	3	4	2
"AGGF1P4"	0	0	0	0	0	0	0	0	0
"AGGF1P5"	0	0	0	0	0	0	0	0	0
"AGGF1P6"	0	0	0	0	0	0	0	0	0
"AGGF1P7"	0	0	0	0	0	0	0	0	0
"AGGF1P8"	0	0	0	0	0	0	0	0	0
"AGGF1P9"	0	0	0	1	0	0	0	0	0
"AGK"	3840	1883	3163	3166	3317	1157	1071	2776	2729
"AGK-DT"	9	0	1	7	0	2	0	1	1
"AGKP1"	0	0	0	0	0	0	1	0	0
"AGKP2"	1	0	4	1	2	0	0	0	0
"AGL"	2406	740	1574	1235	1998	1004	1075	2215	1012
"AGMAT"	421	55	109	344	223	36	239	304	40
"AGMO"	29	2	12	26	31	2	0	10	74
"AGO1"	5414	2056	2565	4520	6233	872	2064	3142	4314
"AGO2"	12531	4468	16872	5026	5030	3748	2674	6194	3292
"AGO3"	3576	869	1288	1784	1892	631	1072	1256	2307
"AGO4"	2754	641	588	2912	1349	441	1634	896	1178
"AGPAT1"	5677	3680	6424	9174	5781	1577	3666	7163	3707
"AGPAT2"	13622	6494	4153	2698	10419	1206	2851	11353	2466
"AGPAT3"	7361	4356	4071	13682	17269	3300	4328	5316	2411
"AGPAT4"	840	174	376	331	894	211	510	406	972
"AGPAT5"	2883	1899	2471	1867	2032	945	1014	3266	1253
"AGPAT5P1"	0	0	0	0	0	0	0	1	0
"AGPS"	1403	770	2751	2048	3444	637	1257	4164	1727
"AGR2"	276	428	19	767	1728	203	6926	106	103
"AGR3"	191	211	30	13	36	59	475	13	190
"AGRN"	81904	36515	27003	73797	123760	15339	44385	42337	79952
"AGRP"	15	3	7	7	16	3	6	11	14
"AGT"	25	35	30	59	164	26	23	18	68
"AGTPBP1"	1118	785	1029	957	1278	426	607	946	726
"AGTR1"	188	13	17	52	118	11	4	165	45
"AGTR2"	6	1	0	0	0	1	773	0	14
"AGTRAP"	3782	3736	5658	4961	5969	1134	2211	9666	2678
"AGXT"	13	0	11	1	1	0	0	1	2
"AGXT2"	1	0	0	1	1	0	2	1	0
"AHCTF1"	3799	1277	3004	4773	3745	1443	1785	2812	1507
"AHCTF1P1"	26	8	56	49	39	8	5	27	7
"AHCY"	19843	13117	25904	21205	10934	4600	7246	28346	12949
"AHCYL1"	14589	8667	11293	16049	22867	7878	16095	11058	7944
"AHCYL2"	2104	1054	744	1409	1455	962	662	808	1527
"AHCYP2"	1	3	3	6	7	1	0	2	0
"AHCYP3"	1	0	2	0	2	0	0	0	0
"AHCYP4"	3	2	1	2	1	1	1	0	2
"AHCYP5"	0	0	1	4	0	0	0	0	0
"AHCYP7"	0	1	0	1	0	0	0	2	0
"AHCYP8"	0	0	0	0	0	0	0	0	0
"AHDC1"	14894	7649	9023	7187	14571	3233	3613	6208	10403
"AHI1"	1079	355	1452	468	921	291	605	627	786
"AHNAK"	33586	41981	36722	36941	66870	36751	11738	40401	53422
"AHNAK2"	12287	7044	11790	6683	13226	3192	218	2512	763
"AHR"	4074	6981	3238	5274	12471	6264	2008	7953	11726
"AHRR"	784	20	63	134	265	54	87	92	81
"AHSA1"	8047	4513	11915	6790	3676	3932	3241	5984	3768
"AHSA2P"	6599	567	758	966	2302	2168	1134	1538	3695
"AHSG"	6	4	5	2	3	0	3	3	0
"AHSP"	0	0	0	1	2	1	1	1	2
"AICDA"	14	2	1	3	4	7	2	2	1
"AIDA"	2217	1488	1591	4959	4559	863	1922	2594	1909
"AIDAP1"	10	6	11	12	11	3	4	7	5
"AIDAP2"	53	3	3	12	17	4	11	13	11
"AIDAP3"	0	0	0	1	0	0	1	0	0
"AIF1"	1627	1451	537	974	1474	571	631	1142	625
"AIF1L"	15415	2891	20139	5397	12031	2973	1909	13951	10033
"AIFM1"	6959	3817	11308	6126	5445	1508	4238	5930	2021
"AIFM1P1"	0	0	0	0	1	0	0	0	0
"AIFM2"	975	708	488	1628	1521	481	664	2093	639
"AIFM3"	96	24	32	131	244	44	44	38	28
"AIG1"	2351	1258	4178	2004	3409	675	3804	2325	1359
"AIG1P1"	0	0	0	0	0	0	0	0	0
"AIM2"	155	38	35	115	74	38	39	200	25
"AIMP1"	5551	2018	2380	2640	4613	889	1454	5738	1862
"AIMP1P1"	9	0	0	0	5	2	0	2	1
"AIMP1P2"	0	0	0	0	0	0	0	0	0
"AIMP2"	2122	1499	1495	3036	1655	604	907	1718	936
"AIP"	4487	2019	3166	6123	2462	1338	1932	5840	2385
"AIPL1"	3	2	0	3	7	9	0	2	0
"AIRE"	11	0	7	0	4	5	10	1	5
"AIRN"	10	1	1	1	1	0	2	0	2
"AJAP1"	4785	17	63	19852	2176	16	47	13	383
"AJM1"	632	210	430	381	2229	161	84	431	713
"AJUBA"	8827	2237	2217	3245	1723	1620	1999	1466	3235
"AK1"	933	267	364	553	987	272	330	833	264
"AK2"	8086	5928	11049	17995	14213	2375	7257	14585	4941
"AK2P2"	6	4	1	2	4	1	5	5	0
"AK3"	4062	4556	1349	3579	7426	3761	5319	5228	4186
"AK3P2"	2	1	0	0	2	4	1	1	2
"AK3P3"	34	4	4	11	12	6	10	6	23
"AK3P4"	2	0	0	0	0	0	0	0	1
"AK3P5"	13	0	3	2	2	10	2	1	3
"AK4"	6516	2652	3426	661	7166	1301	503	6637	1136
"AK4P1"	64	3	33	11	30	0	9	156	5
"AK4P2"	0	0	0	0	0	0	0	1	0
"AK4P3"	5	2	5	2	2	0	7	14	4
"AK4P4"	1	0	0	0	0	0	4	0	1
"AK4P5"	0	0	0	0	0	0	0	0	0
"AK4P6"	1	0	0	0	0	2	0	2	1
"AK5"	758	48	41	176	220	39	7	105	54
"AK6"	1257	555	798	582	904	270	321	1703	436
"AK6P1"	1	0	0	0	1	0	2	0	0
"AK6P2"	0	0	0	0	1	0	0	0	0
"AK7"	74	87	341	45	178	122	544	364	314
"AK8"	315	196	479	130	239	94	131	825	126
"AK9"	320	179	134	202	248	49	271	358	349
"AKAIN1"	0	1	0	0	0	0	0	0	2
"AKAP1"	2902	3109	5007	2617	2704	1904	2548	5710	2235
"AKAP1-DT"	114	185	75	53	84	39	149	257	78
"AKAP10"	1644	683	1983	2067	1543	643	1177	1664	1405
"AKAP11"	3804	2046	2106	2227	4269	1483	2620	1737	1328
"AKAP12"	6195	1753	9613	521	1605	2818	1185	1850	3326
"AKAP13"	10741	2525	3717	4756	6803	3078	2915	4693	5231
"AKAP14"	3	26	28	3	5	5	0	30	4
"AKAP17A"	5039	1050	2714	2610	2375	2875	1919	3907	1449
"AKAP17BP"	4	2	4	2	0	1	2	0	20
"AKAP3"	191	446	339	513	137	84	225	449	309
"AKAP4"	0	0	1	0	0	0	0	2	0
"AKAP5"	136	29	113	145	172	78	88	150	147
"AKAP6"	2247	85	402	1046	200	50	260	130	110
"AKAP7"	307	173	84	756	514	82	2091	529	494
"AKAP8"	4454	1467	1717	4245	1811	1230	1484	2372	2140
"AKAP8L"	8006	2276	2737	6317	2591	3469	3200	2422	8990
"AKAP8P1"	0	0	1	14	0	31	9	0	106
"AKAP9"	2893	2730	2288	3315	3844	1941	1479	2707	2239
"AKIP1"	682	363	607	1327	1556	291	364	967	564
"AKIRIN1"	8247	1704	3964	5286	5298	2810	10044	2670	13148
"AKIRIN1P1"	0	0	0	0	0	0	0	0	0
"AKIRIN1P2"	5	0	1	1	0	0	1	1	2
"AKIRIN2"	2775	2872	1576	4115	3074	1035	2731	2614	3849
"AKIRIN2P1"	0	0	0	1	0	0	0	0	0
"AKNA"	5985	2612	2010	1969	3971	2208	1454	3937	1624
"AKNAD1"	3	0	0	4	0	1	3	0	13
"AKR1A1"	8052	4784	7144	7575	9129	4969	5633	6610	8191
"AKR1B1"	7521	3055	3505	5947	6178	1305	2098	4882	3369
"AKR1B10"	15	37	51	7	4	0	2	5	3
"AKR1B10P1"	0	0	0	0	0	0	0	0	0
"AKR1B10P2"	0	0	0	0	0	0	0	0	0
"AKR1B15"	110	55	99	5	4	3	58	5	9
"AKR1B1P1"	4	1	2	3	1	1	1	2	2
"AKR1B1P2"	4	2	1	3	1	0	0	2	0
"AKR1B1P3"	5	0	3	2	1	0	3	5	2
"AKR1B1P4"	1	0	0	0	0	0	0	0	0
"AKR1B1P5"	0	0	1	0	0	0	0	0	1
"AKR1B1P6"	2	0	0	0	0	0	0	0	0
"AKR1B1P7"	8	0	2	1	7	0	2	5	1
"AKR1B1P8"	0	0	0	0	0	0	0	0	0
"AKR1C1"	143	17	21	124	226	51	85	75	271
"AKR1C2"	212	23	31	94	253	51	21	43	219
"AKR1C3"	250	297	115	479	462	286	543	100	1732
"AKR1C4"	0	1	0	1	4	1	0	1	19
"AKR1C5P"	0	0	0	0	0	0	0	0	9
"AKR1C6P"	1	1	1	5	1	3	4	8	7
"AKR1C7P"	0	0	1	1	5	0	1	4	0
"AKR1C8P"	0	0	1	0	0	4	2	1	34
"AKR1D1"	0	1	0	1	1	0	0	3	6
"AKR1D1P1"	0	0	0	1	0	0	0	0	0
"AKR1E2"	24	6	108	154	76	43	306	510	210
"AKR7A2"	4988	3377	4564	3685	3813	921	2338	5936	3764
"AKR7A2P1"	12	2	0	3	4	17	4	3	2
"AKR7A2P2"	3	1	1	4	1	4	2	2	1
"AKR7A3"	152	33	25	57	41	187	47	54	111
"AKR7L"	131	10	29	26	39	53	18	30	55
"AKT1"	21227	5824	9267	21061	12077	7734	6321	7634	11235
"AKT1S1"	5954	4532	6940	8711	11422	3294	3354	5421	3786
"AKT2"	16513	6390	18581	28390	20178	7795	7524	12884	6714
"AKT3"	1446	313	391	625	3907	401	351	1456	724
"AKT3-IT1"	6	0	0	0	6	1	0	1	1
"AKTIP"	2033	501	1289	1349	1021	303	896	1090	878
"ALAD"	4097	4041	2949	2758	3955	1722	2809	2406	2539
"ALAS1"	9765	3337	4666	4557	6550	2095	3424	4462	2610
"ALAS2"	29	0	2	25	34	15	16	6	4
"ALB"	26	24	19	10	22	7	31	19	12
"ALCAM"	5668	1091	6296	10995	7016	572	656	9486	3868
"ALDH16A1"	2553	658	2692	5381	2449	810	1395	1270	1506
"ALDH18A1"	12661	3862	7824	9668	10476	4671	7739	5587	4234
"ALDH1A1"	1447	419	538	1184	1477	321	2917	466	2288
"ALDH1A2"	582	314	257	333	919	5678	1187	205	5104
"ALDH1A3"	1224	374	372	777	1090	340	94	338	765
"ALDH1B1"	2378	1724	2001	3473	4890	1775	827	4895	2776
"ALDH1L1"	161	186	9	39	152	9	160	7	205
"ALDH1L1-AS1"	0	0	0	0	0	0	0	0	0
"ALDH1L1-AS2"	11	3	0	1	7	1	16	0	5
"ALDH1L2"	1163	144	460	1049	831	528	139	857	1016
"ALDH2"	2051	6999	588	2580	6365	4023	6718	4207	7894
"ALDH3A1"	280	386	44	52	24	23	128	19	145
"ALDH3A2"	3817	3421	4875	5188	4442	1793	1756	2982	3951
"ALDH3B1"	1618	4144	1755	1747	2057	1658	865	6853	1534
"ALDH3B2"	4385	2669	4190	2676	9670	3868	930	4315	867
"ALDH4A1"	1136	628	889	775	821	229	786	681	720
"ALDH5A1"	1886	957	4665	2221	855	1025	1260	3832	2881
"ALDH6A1"	3090	1955	3223	2345	1898	1118	2358	1586	1320
"ALDH7A1"	6896	5959	2435	13476	4210	1323	2218	20128	2990
"ALDH7A1P1"	53	39	26	98	19	6	20	147	8
"ALDH7A1P2"	0	0	0	0	0	0	0	0	0
"ALDH7A1P3"	0	0	0	0	0	0	0	1	0
"ALDH7A1P4"	0	0	0	0	0	0	0	0	0
"ALDH8A1"	68	9	17	16	14	8	16	12	20
"ALDH9A1"	3907	1305	4070	4383	5160	2027	2781	3460	2577
"ALDOA"	202099	92988	130048	65509	107240	40527	47870	154537	53270
"ALDOAP1"	25	12	13	8	8	1	6	20	5
"ALDOAP2"	55	20	19	16	15	1	11	26	7
"ALDOB"	29	7	6	9	30	2	1	8	3
"ALDOC"	469	712	453	646	2849	753	467	1203	1186
"ALG1"	1613	1716	3037	632	1187	960	893	1409	1533
"ALG10"	424	107	589	226	201	119	451	572	451
"ALG10B"	1566	341	1233	682	551	123	748	1211	718
"ALG11"	748	157	451	343	370	178	251	234	263
"ALG12"	1125	444	845	1447	2791	414	347	4533	551
"ALG13"	2456	437	1193	1139	1933	866	1869	2308	1073
"ALG13-AS1"	13	0	6	3	2	4	5	0	7
"ALG14"	842	564	686	1237	926	346	329	428	586
"ALG14-AS1"	0	0	0	3	1	0	3	3	3
"ALG1L"	59	18	135	101	10	2	155	61	43
"ALG1L10P"	78	37	30	19	18	32	16	15	42
"ALG1L11P"	18	0	2	8	1	3	0	4	1
"ALG1L12P"	79	65	119	49	24	27	43	25	27
"ALG1L13P"	56	5	19	20	19	43	15	17	47
"ALG1L14P"	2	3	0	0	8	0	1	3	1
"ALG1L15P"	16	6	12	2	6	1	3	7	3
"ALG1L2"	212	90	91	112	165	212	48	408	67
"ALG1L3P"	36	7	32	39	10	3	7	172	4
"ALG1L5P"	6	11	1	25	36	13	12	3	2
"ALG1L6P"	199	21	1	62	38	56	19	91	39
"ALG1L7P"	7	17	36	9	155	18	2	6	7
"ALG1L8P"	8	9	37	39	9	3	10	32	5
"ALG1L9P"	31	14	28	15	15	21	3	28	10
"ALG2"	4825	2304	6364	2010	3729	1817	1127	6473	2086
"ALG3"	10324	6018	14533	14380	8672	4569	3966	15071	7362
"ALG3P1"	7	0	3	3	1	2	1	5	2
"ALG5"	2512	2035	2010	1610	1933	581	707	1740	777
"ALG6"	1605	688	1857	1320	1867	563	607	2665	547
"ALG8"	5695	2592	2788	3730	3320	1623	1383	5940	2328
"ALG9"	639	430	330	753	767	192	167	701	756
"ALG9-IT1"	2	0	0	0	2	0	0	0	1
"ALK"	204	140	66	348	161	1058	10	442	103
"ALKAL1"	30	3	0	2	29	0	8	3	1
"ALKAL2"	36	245	13	6	146	8	548	14	66
"ALKBH1"	1195	471	871	970	684	387	541	756	684
"ALKBH2"	753	592	1082	790	553	689	648	1545	1053
"ALKBH3"	1825	737	1018	2267	1685	482	428	1001	777
"ALKBH3-AS1"	38	8	12	29	22	20	8	30	15
"ALKBH4"	853	517	791	1145	1077	362	459	862	704
"ALKBH5"	6741	3108	8414	9201	6315	2037	3492	5235	5263
"ALKBH6"	547	119	477	866	763	298	242	525	374
"ALKBH7"	6585	9246	3176	4103	3233	1898	1500	3241	2238
"ALKBH8"	487	305	250	543	459	135	149	747	408
"ALLC"	3	0	0	0	0	1	0	0	0
"ALMS1"	3627	1127	1800	2868	2065	755	1621	824	2201
"ALMS1-IT1"	32	12	16	28	30	12	20	47	52
"ALMS1P1"	16	4	3	18	3	4	17	4	11
"ALOX12"	233	61	79	255	136	66	90	73	334
"ALOX12-AS1"	541	103	235	266	218	108	120	192	532
"ALOX12B"	26	8	6	5	9	7	6	20	29
"ALOX12P1"	0	0	1	1	1	2	0	0	0
"ALOX12P2"	1466	101	110	242	597	655	242	412	296
"ALOX15"	59	24	24	18	64	15	3	3	37
"ALOX15B"	381	32	112	73	299	73	130	211	113
"ALOX15P1"	45	0	2	35	1	3	21	9	4
"ALOX15P2"	0	0	0	0	0	0	0	0	0
"ALOX5"	1116	2817	498	1434	9043	1237	693	3682	1308
"ALOX5AP"	1117	1969	661	999	2421	475	508	1613	1047
"ALOXE3"	13	2	21	189	83	37	2	92	46
"ALOXE3P1"	20	0	0	0	1	0	0	4	2
"ALPG"	222	206	434	68	1	7	98671	31	16
"ALPI"	0	0	1	1	0	0	18	0	8
"ALPK1"	2244	933	816	1116	3283	620	769	1733	1370
"ALPK2"	728	58	80	269	463	77	2	193	303
"ALPK3"	877	121	367	392	427	178	4012	248	154
"ALPL"	32996	2139	4941	11687	2833	2267	3781	11485	4164
"ALPP"	133	120	223	53	2	6	32570	18	25
"ALS2"	1751	632	1575	2055	1730	677	910	1315	1408
"ALS2CL"	7369	2104	414	4170	7919	3031	911	664	848
"ALX1"	3	0	2	0	43	0	0	3	1
"ALX3"	0	1	0	152	63	2	129	4	91
"ALX4"	512	3	2	8	6	3	10	1	316
"ALYREF"	7152	1868	4367	2671	3182	1483	1502	8494	2239
"AMACR"	169	121	293	138	187	88	207	157	117
"AMBN"	0	0	2	0	0	0	0	0	0
"AMBP"	20	9	10	68	5	14	19	8	13
"AMBRA1"	4013	1771	2314	4789	4412	1340	1675	4027	1825
"AMD1"	5715	3418	4960	5391	5312	1462	4742	6434	4273
"AMD1P1"	0	0	2	0	3	2	0	8	4
"AMD1P2"	3	0	2	1	1	0	4	2	0
"AMD1P3"	5	3	5	8	5	0	13	6	7
"AMD1P4"	16	6	6	2	7	21	0	12	33
"AMDHD1"	21	7	12	28	20	7	8	21	23
"AMDHD2"	844	504	1817	658	1313	588	566	814	1453
"AMELX"	1	0	0	0	0	0	0	0	0
"AMELY"	0	0	0	0	0	0	0	0	0
"AMER1"	1977	492	664	1119	981	444	677	694	840
"AMER2"	2	0	1	0	1	1	3	0	0
"AMER3"	44	2	0	1	1	0	6	0	2
"AMFR"	4707	2232	5580	5528	6573	1565	3462	10310	2354
"AMH"	229	0	706	44	169	172	256	40	48
"AMHR2"	14	5	3	4	3	11	13	0	327
"AMIGO1"	574	269	445	2365	797	562	821	277	318
"AMIGO2"	566	153	309	459	999	126	901	2160	1118
"AMIGO3"	18	0	4	8	13	2	9	2	13
"AMMECR1"	7654	433	5063	2685	2916	625	892	2946	523
"AMMECR1-IT1"	5	0	1	0	0	0	0	0	1
"AMMECR1L"	3331	1244	2559	2307	2116	855	1193	2105	2122
"AMMECR1LP1"	0	0	0	1	0	0	0	0	0
"AMN"	332	286	639	1380	205	232	469	704	565
"AMN1"	951	440	500	538	350	91	1733	692	502
"AMOT"	5108	3962	2968	1594	3494	2361	768	2078	5083
"AMOTL1"	4958	969	1006	2365	3921	736	894	7499	2403
"AMOTL2"	17433	7609	4933	13786	10501	8600	7120	11244	5898
"AMPD1"	10	2	14	5	16	13	5	1	20
"AMPD2"	4655	2092	3987	7627	7160	3810	3689	2165	2821
"AMPD3"	1167	322	375	594	825	522	551	736	259
"AMPH"	336	71	44	152	203	45	212	580	76
"AMT"	919	123	181	450	434	359	304	3961	809
"AMTN"	3	0	0	0	0	0	0	0	0
"AMY1A"	1	0	0	0	3	0	1	1	2
"AMY1B"	76	2	4	25	48	5	82	116	43
"AMY1C"	0	0	0	0	0	0	1	0	0
"AMY2A"	3	1	1	1	2	4	3	5	6
"AMY2B"	588	214	326	76	403	746	132	490	328
"AMYP1"	0	0	0	0	0	0	0	0	0
"AMZ1"	128	20	52	39	726	21	22	60	57
"AMZ2"	5365	2834	8239	3880	3138	1479	3658	7544	2295
"AMZ2P1"	667	422	932	295	291	154	503	494	442
"AMZ2P2"	8	1	0	1	0	1	0	1	2
"AMZ2P3"	0	0	0	0	0	0	0	0	0
"ANAPC1"	2796	1311	2866	3021	2242	767	1273	1834	2102
"ANAPC10"	1234	290	574	805	826	149	310	671	368
"ANAPC10P1"	5	1	2	3	2	4	2	7	2
"ANAPC11"	7907	2954	3762	3108	3300	1745	1407	8750	2912
"ANAPC13"	5653	3145	4116	3955	4539	921	3171	6165	3385
"ANAPC15"	1115	434	1017	1492	636	298	410	1054	503
"ANAPC15P1"	0	0	1	1	0	0	0	0	0
"ANAPC15P2"	0	0	0	0	0	0	0	0	0
"ANAPC16"	7687	8579	5594	4697	11364	2805	4732	8865	6444
"ANAPC1P1"	12	2	3	7	12	0	20	0	10
"ANAPC1P2"	128	54	119	125	101	65	64	109	101
"ANAPC1P3"	0	0	0	0	0	0	0	0	0
"ANAPC1P4"	71	14	52	94	58	13	21	97	88
"ANAPC1P5"	1	0	0	1	0	1	1	0	0
"ANAPC1P6"	2	0	0	2	2	0	0	0	1
"ANAPC2"	5982	1663	2634	3133	4414	1772	1393	5730	3289
"ANAPC4"	1457	694	1159	1289	3269	579	1802	1240	1385
"ANAPC5"	10249	3648	7263	8050	5909	4455	5286	16368	11241
"ANAPC7"	2800	1212	3498	3138	2513	1587	2393	5193	4020
"ANG"	130	59	68	103	192	50	28	83	99
"ANGEL1"	4732	1979	4238	1734	1888	1386	1568	1680	1680
"ANGEL2"	2495	702	1357	3328	1803	982	1636	2342	1882
"ANGPT1"	344	33	205	161	144	68	26	240	157
"ANGPT2"	1466	257	273	1221	944	127	375	1001	212
"ANGPT4"	28	4	8	8	37	13	11	5	20
